Grid 1:
[[0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0]]
[[255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0]]
[[0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0]]
[[0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0]]
[[255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0]]
[[255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0]]
[[255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255]]
[[0, 0, 255], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0]]
[[0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 255, 0]]
[[255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0]]
[[0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 255, 0]]
[[0, 0, 255], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255]]

Grid 2:
[[0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255]]
[[255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0]]
[[0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0]]
[[255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0]]
[[255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0]]
[[0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0]]
[[255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0]]
[[0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255]]
[[0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0]]
[[0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255]]
[[0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255]]
[[0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0]]

Grid 3:
[[255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0]]
[[255, 0, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 0, 255]]
[[0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0]]
[[0, 0, 255], [0, 0, 255], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0]]
[[255, 0, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0]]
[[255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255]]
[[255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0]]
[[255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0]]
